[2026-03-11 23:05:58.009] [info] [heaven] successful received.
[2026-03-11 23:05:58.009] [info] [heaven] read_thread started.
[2026-03-11 23:05:58.402] [warning] Failed to init camera!
[2026-03-11 23:05:59.546] [info] Reset usb successfully :)
[2026-03-11 23:05:59.748] [warning] Failed to init camera!
[2026-03-11 23:06:00.447] [info] Reset usb successfully :)
[2026-03-11 23:06:00.649] [warning] Failed to init camera!
[2026-03-11 23:06:01.197] [info] Reset usb successfully :)
[2026-03-11 23:06:01.399] [warning] Failed to init camera!
[2026-03-11 23:06:01.854] [info] Reset usb successfully :)
[2026-03-11 23:06:02.055] [warning] Failed to init camera!
[2026-03-11 23:06:02.506] [info] Reset usb successfully :)
[2026-03-11 23:06:02.709] [warning] Failed to init camera!
[2026-03-11 23:06:03.256] [info] Reset usb successfully :)
[2026-03-11 23:06:03.458] [warning] Failed to init camera!
[2026-03-11 23:06:03.999] [info] Reset usb successfully :)
[2026-03-11 23:06:04.201] [warning] Failed to init camera!
[2026-03-11 23:06:04.658] [info] Reset usb successfully :)
[2026-03-11 23:06:04.860] [warning] Failed to init camera!
[2026-03-11 23:06:05.408] [info] Reset usb successfully :)
[2026-03-11 23:06:05.610] [warning] Failed to init camera!
[2026-03-11 23:06:06.071] [info] Reset usb successfully :)
[2026-03-11 23:06:06.273] [warning] Failed to init camera!
[2026-03-11 23:06:06.728] [info] Reset usb successfully :)
[2026-03-11 23:06:06.930] [warning] Failed to init camera!
[2026-03-11 23:06:07.475] [info] Reset usb successfully :)
[2026-03-11 23:06:11.904] [info] Mindvision opened.
[2026-03-11 23:06:12.006] [warning] Camera dropped!
[2026-03-11 23:06:12.716] [info] Reset usb successfully :)
[2026-03-11 23:06:12.918] [warning] Failed to init camera!
[2026-03-11 23:06:13.375] [info] Reset usb successfully :)
[2026-03-11 23:06:13.576] [warning] Failed to init camera!
[2026-03-11 23:06:14.120] [info] Reset usb successfully :)
[2026-03-11 23:06:14.323] [warning] Failed to init camera!
[2026-03-11 23:06:14.777] [info] Reset usb successfully :)
[2026-03-11 23:06:14.978] [warning] Failed to init camera!
[2026-03-11 23:06:15.525] [info] Reset usb successfully :)
[2026-03-11 23:06:15.728] [warning] Failed to init camera!
[2026-03-11 23:06:16.274] [info] Reset usb successfully :)
[2026-03-11 23:06:16.476] [warning] Failed to init camera!
[2026-03-11 23:06:16.938] [info] Reset usb successfully :)
[2026-03-11 23:06:17.140] [warning] Failed to init camera!
[2026-03-11 23:06:17.688] [info] Reset usb successfully :)
[2026-03-11 23:06:17.891] [warning] Failed to init camera!
[2026-03-11 23:06:18.342] [info] Reset usb successfully :)
[2026-03-11 23:06:18.544] [warning] Failed to init camera!
[2026-03-11 23:06:19.091] [info] Reset usb successfully :)
[2026-03-11 23:06:19.293] [warning] Failed to init camera!
[2026-03-11 23:06:19.829] [info] Reset usb successfully :)
[2026-03-11 23:06:20.031] [warning] Failed to init camera!
[2026-03-11 23:06:20.481] [info] Reset usb successfully :)
[2026-03-11 23:06:20.683] [warning] Failed to init camera!
[2026-03-11 23:06:21.230] [info] Reset usb successfully :)
[2026-03-11 23:06:21.432] [warning] Failed to init camera!
[2026-03-11 23:06:21.888] [info] Reset usb successfully :)
[2026-03-11 23:06:22.090] [warning] Failed to init camera!
[2026-03-11 23:06:22.538] [info] Reset usb successfully :)
[2026-03-11 23:06:22.740] [warning] Failed to init camera!
[2026-03-11 23:06:23.283] [info] Reset usb successfully :)
[2026-03-11 23:06:23.484] [warning] Failed to init camera!
[2026-03-11 23:06:24.033] [info] Reset usb successfully :)
[2026-03-11 23:06:28.455] [info] Mindvision opened.
[2026-03-11 23:06:28.556] [warning] Camera dropped!
[2026-03-11 23:06:29.269] [info] Reset usb successfully :)
[2026-03-11 23:06:29.670] [warning] Failed to init camera!
[2026-03-11 23:06:30.217] [info] Reset usb successfully :)
[2026-03-11 23:06:30.419] [warning] Failed to init camera!
[2026-03-11 23:06:30.967] [info] Reset usb successfully :)
[2026-03-11 23:06:31.169] [warning] Failed to init camera!
[2026-03-11 23:06:31.711] [info] Reset usb successfully :)
[2026-03-11 23:06:31.913] [warning] Failed to init camera!
[2026-03-11 23:06:32.362] [info] Reset usb successfully :)
[2026-03-11 23:06:32.563] [warning] Failed to init camera!
[2026-03-11 23:06:33.011] [info] Reset usb successfully :)
[2026-03-11 23:06:33.213] [warning] Failed to init camera!
[2026-03-11 23:06:33.666] [info] Reset usb successfully :)
[2026-03-11 23:06:33.868] [warning] Failed to init camera!
[2026-03-11 23:06:34.317] [info] Reset usb successfully :)
[2026-03-11 23:06:34.519] [warning] Failed to init camera!
[2026-03-11 23:06:35.066] [info] Reset usb successfully :)
[2026-03-11 23:06:35.268] [warning] Failed to init camera!
[2026-03-11 23:06:35.725] [info] Reset usb successfully :)
[2026-03-11 23:06:35.927] [warning] Failed to init camera!
[2026-03-11 23:06:36.462] [info] Reset usb successfully :)
[2026-03-11 23:06:36.664] [warning] Failed to init camera!
[2026-03-11 23:06:37.113] [info] Reset usb successfully :)
[2026-03-11 23:06:37.314] [warning] Failed to init camera!
[2026-03-11 23:06:37.859] [info] Reset usb successfully :)
[2026-03-11 23:06:38.060] [warning] Failed to init camera!
