[2026-03-13 21:18:31.946] [info] [heaven] successful received.
[2026-03-13 21:18:31.946] [info] [heaven] read_thread started.
[2026-03-13 21:18:31.946] [info] 串口初始化成功
[2026-03-13 21:18:32.717] [info] Mindvision opened.
[2026-03-13 21:18:32.717] [info] 相机初始化成功
[2026-03-13 21:18:32.940] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:32.949] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:32.973] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:32.985] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:32.995] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.008] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.022] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.034] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.045] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.058] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.069] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.082] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.094] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.107] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.118] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.132] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.145] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.156] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.170] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.182] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.195] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.208] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.220] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.231] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.244] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.257] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.270] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.281] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.293] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.306] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.317] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.330] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.341] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.353] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.363] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.376] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.389] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.402] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.414] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.426] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.438] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.451] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.463] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.476] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.490] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.504] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.518] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.529] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.543] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.557] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.571] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.587] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.600] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.612] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.624] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.636] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.646] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.660] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.672] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.684] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.696] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.708] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.720] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.732] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.745] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.758] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.771] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.783] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.795] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.807] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.819] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.831] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.844] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.857] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.870] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.884] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.897] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.910] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.923] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.938] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.952] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.967] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.979] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:33.991] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.003] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.014] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.024] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.036] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.048] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.062] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.075] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.088] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.102] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.116] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.128] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.142] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.156] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.174] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.188] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.203] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.218] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.232] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.246] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.259] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.269] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.282] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.295] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.306] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.320] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.337] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.353] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.369] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.386] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.404] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.418] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.429] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.442] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.454] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.467] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.480] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.492] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.505] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.517] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.529] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.542] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.554] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.568] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.580] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.592] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.603] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.616] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.627] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.638] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.651] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.663] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.680] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.701] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.722] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.736] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.750] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.762] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.776] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.788] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.799] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.809] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.821] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.836] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.848] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.861] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.873] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.885] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.896] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.908] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.920] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.933] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.945] [debug] 显示图像大小: 640x512
[2026-03-13 21:18:34.958] [debug] 显示图像大小: 640x512
